chain_stage,main_products,revenue_2023,domestic_market_share,r_and_d_ratio,sensitivity_level,id,enterprise_id,enterprise_name,headquarters,data_source,created_at,core_customers
中游-系统集成,风力发电机组,1818.73,7.99,16.57,高,67,ENT_GAN_5066,飞海科技信息有限公司 (合成),河南省乌鲁木齐,GAN模型合成,2025-12-08 09:26:46.423526,混合生成客户
下游-运营维护,氢燃料电池,897.03,8.53,15.64,低,68,ENT_GAN_5067,同兴万点科技有限公司 (合成),云南省昆明,GAN模型合成,2025-12-08 09:26:46.423526,混合生成客户
上游-零部件,储能变流器,5175.42,1.52,12.67,中,69,ENT_GAN_5068,同兴万点网络有限公司 (合成),辽宁省长沙,GAN模型合成,2025-12-08 09:26:46.423526,混合生成客户
下游-运营维护,风力发电机组,2117.92,4.54,12.28,中,70,ENT_GAN_5069,毕博诚信息有限公司 (合成),山西省宁德,GAN模型合成,2025-12-08 09:26:46.423526,混合生成客户
下游-能源服务,智能电网系统,112.51,10.49,8.87,高,71,ENT_GAN_5070,群英传媒有限公司 (合成),云南省重庆,GAN模型合成,2025-12-08 09:26:46.423526,混合生成客户
下游-运营维护,储能变流器,987.45,1.06,11.09,低,72,ENT_GAN_5071,国讯信息有限公司 (合成),青海省海门,GAN模型合成,2025-12-08 09:26:46.423526,混合生成客户
下游-运营维护,风力发电机组,2067.25,3.42,7.34,中,73,ENT_GAN_5072,维涛传媒有限公司 (合成),海南省沈阳,GAN模型合成,2025-12-08 09:26:46.423526,混合生成客户
中游-设备制造,单晶硅片,6520.34,5.11,13.29,高,74,ENT_GAN_5073,易动力传媒有限公司 (合成),陕西省潮州,GAN模型合成,2025-12-08 09:26:46.423526,混合生成客户
上游-原材料,智能电网系统,1946.25,5.85,12.52,低,75,ENT_GAN_5074,晖来计算机信息有限公司 (合成),宁夏回族自治区六安,GAN模型合成,2025-12-08 09:26:46.423526,混合生成客户
中游-设备制造,风力发电机组,2560.16,2.15,11.05,高,76,ENT_GAN_5075,恩悌信息有限公司 (合成),宁夏回族自治区辛集,GAN模型合成,2025-12-08 09:26:46.423526,混合生成客户
中游-设备制造,储能变流器,4327.52,4.1,13.17,高,77,ENT_GAN_5076,泰麒麟科技有限公司 (合成),河北省惠州,GAN模型合成,2025-12-08 09:26:46.423526,混合生成客户
中游-系统集成,风力发电机组,2461.69,3.5,12.77,低,78,ENT_GAN_5077,开发区世创传媒有限公司 (合成),四川省乌鲁木齐,GAN模型合成,2025-12-08 09:26:46.423526,混合生成客户
中游-设备制造,智能电网系统,112.51,8.01,6.86,低,79,ENT_GAN_5078,毕博诚信息有限公司 (合成),广东省拉萨,GAN模型合成,2025-12-08 09:26:46.423526,混合生成客户
中游-设备制造,智能电网系统,537.58,4.09,11.17,高,80,ENT_GAN_5079,海创科技有限公司 (合成),北京市呼和浩特,GAN模型合成,2025-12-08 09:26:46.423526,混合生成客户
中游-设备制造,氢燃料电池,1576.39,5.04,9.54,中,81,ENT_GAN_5080,明腾网络有限公司 (合成),天津市南京,GAN模型合成,2025-12-08 09:26:46.423526,混合生成客户
中游-设备制造,锂离子电池,3761.73,3.76,8.23,高,82,ENT_GAN_5081,精芯科技有限公司 (合成),陕西省宁德,GAN模型合成,2025-12-08 09:26:46.423526,混合生成客户
下游-运营维护,风力发电机组,112.51,11.7,6.05,高,83,ENT_GAN_5082,时刻信息有限公司 (合成),澳门特别行政区海口,GAN模型合成,2025-12-08 09:26:46.423526,混合生成客户
下游-运营维护,风力发电机组,1963.64,13.85,15.95,高,84,ENT_GAN_5083,时刻信息有限公司 (合成),河北省济南,GAN模型合成,2025-12-08 09:26:46.423526,混合生成客户
上游-原材料,风力发电机组,5216.06,3.49,11.27,低,85,ENT_GAN_5084,迪摩网络有限公司 (合成),贵州省南宁,GAN模型合成,2025-12-08 09:26:46.423526,混合生成客户
上游-零部件,锂离子电池,3386.13,0.94,6.63,低,86,ENT_GAN_5085,南康传媒有限公司 (合成),福建省嘉禾,GAN模型合成,2025-12-08 09:26:46.423526,混合生成客户
下游-能源服务,单晶硅片,3656.66,4.26,7.08,中,87,ENT_GAN_5086,创联世纪科技有限公司 (合成),澳门特别行政区辽阳,GAN模型合成,2025-12-08 09:26:46.423526,混合生成客户
上游-零部件,智能电网系统,5986.82,1.5,9.58,中,88,ENT_GAN_5087,方正科技网络有限公司 (合成),云南省昆明,GAN模型合成,2025-12-08 09:26:46.423526,混合生成客户
下游-能源服务,储能变流器,4305.34,13.01,9.89,高,89,ENT_GAN_5088,浙大万朋传媒有限公司 (合成),新疆维吾尔自治区深圳,GAN模型合成,2025-12-08 09:26:46.423526,混合生成客户
中游-设备制造,储能变流器,4841.06,4.82,11.45,中,90,ENT_GAN_5089,彩虹信息有限公司 (合成),河南省天津,GAN模型合成,2025-12-08 09:26:46.423526,混合生成客户
上游-零部件,智能电网系统,5069.65,0.39,11.98,高,91,ENT_GAN_5090,浦华众城科技有限公司 (合成),青海省大冶,GAN模型合成,2025-12-08 09:26:46.423526,混合生成客户
下游-能源服务,锂离子电池,2102.44,0.39,10.86,高,92,ENT_GAN_5091,凌颖信息网络有限公司 (合成),河北省潜江,GAN模型合成,2025-12-08 09:26:46.423526,混合生成客户
下游-能源服务,锂离子电池,2072.3,0.39,5.93,高,93,ENT_GAN_5092,黄石金承信息有限公司 (合成),安徽省兰州,GAN模型合成,2025-12-08 09:26:46.423526,混合生成客户
上游-零部件,锂离子电池,283.04,12.73,9.26,低,94,ENT_GAN_5093,鑫博腾飞信息有限公司 (合成),山东省嘉禾,GAN模型合成,2025-12-08 09:26:46.423526,混合生成客户
中游-系统集成,智能电网系统,1568.5,0.39,12.75,低,95,ENT_GAN_5094,恩悌传媒有限公司 (合成),山东省天津,GAN模型合成,2025-12-08 09:26:46.423526,混合生成客户
下游-运营维护,锂离子电池,1685.91,2.18,12.03,中,96,ENT_GAN_5095,浙大万朋传媒有限公司 (合成),浙江省石家庄,GAN模型合成,2025-12-08 09:26:46.423526,混合生成客户
下游-能源服务,智能电网系统,4274.19,4.11,0.46,中,97,ENT_GAN_5096,维旺明网络有限公司 (合成),河北省南昌,GAN模型合成,2025-12-08 09:26:46.423526,混合生成客户
上游-零部件,智能电网系统,1341.18,0.39,13.32,高,98,ENT_GAN_5097,华泰通安信息有限公司 (合成),黑龙江省济南,GAN模型合成,2025-12-08 09:26:46.423526,混合生成客户
下游-能源服务,单晶硅片,1441.6,9.54,6.55,低,99,ENT_GAN_5098,恒聪百汇传媒有限公司 (合成),四川省香港,GAN模型合成,2025-12-08 09:26:46.423526,混合生成客户
中游-设备制造,锂离子电池,3514.27,11.33,10.73,高,100,ENT_GAN_5099,合联电子网络有限公司 (合成),台湾省惠州,GAN模型合成,2025-12-08 09:26:46.423526,混合生成客户
